Rank     Team                            W-L-T    Schedule Factor
587        McNeese St                      3-2-0    14.0314
588        Tarleton St                     0-1-0    14.0115
589        East Central OK                 0-1-0    14.0115
590        Florida Int'l                   0-1-0    13.9358
591        Lake Erie                       1-5-0    13.8915
592        Texas St-San Marcos             0-1-0    13.8493
593        Mississippi Valley St           0-4-0    13.8479
594        Minn St-Mankato                 1-0-0    13.8434
595        St Xavier                       0-1-0    13.7791
596        Marian IN                       0-1-0    13.7791
597        New Mexico Highlands            0-1-0    13.7734
598        Princeton                       0-1-0    13.7461
599        UC-Davis                        4-0-0    13.7034
600        Eastern Illinois                1-3-0    13.698
601        TAMU-Kingsville                 4-2-0    13.6965
602        Mesa St                         0-2-0    13.6703
603        SW Minnesota St                 2-1-0    13.6692
604        Louisiana-Monroe                4-1-0    13.6689
605        North Carolina Wesleyan         0-1-0    13.6137
606        Arkansas Tech                   1-2-0    13.5768
607        Iowa Wesleyan                   0-2-0    13.5007
608        Southern U.                     0-2-0    13.4771
609        Saginaw Valley St               1-4-0    13.4497
610        West Alabama                    2-3-0    13.3817
611        Truman St                       0-2-0    13.3373
612        Tiffin                          1-4-0    13.3023
613        William & Mary                  3-3-0    13.2736
614        Eastern Kentucky                5-0-0    13.2345
615        Pittsburg St                    4-3-0    13.1902
616        Upper Iowa                      2-3-0    13.1353
617        Savannah St                     0-3-0    13.1221
618        Texas St-San Marcos             0-1-0    13.007
619        Muskingum                       0-2-0    12.8557
620        Central Arkansas                3-1-0    12.7996
621        South Dakota                    1-4-0    12.7865
622        Findlay                         0-2-0    12.7298
623        SE Louisiana St                 2-3-0    12.72
624        Nicholls St                     2-3-0    12.6345
625        Davidson                        0-1-0    12.6111
626        Wheaton                         0-1-0    12.5721
627        Doane                           0-1-0    12.4646
628        Hastings                        0-1-0    12.4646
629        Wayne St NE                     3-3-0    12.4519
630        North Texas                     3-2-0    12.447
631        Florida Atlantic                2-1-0    12.3601
632        Florida Int'l                   3-2-0    12.3206
633        Missouri Valley                 0-1-0    12.2458
634        SE Missouri St                  5-0-0    12.2418
635        Western Illinois                6-0-0    12.2012
636        Franklin & Marshall             0-2-0    12.1851
637        Augustana SD                    4-2-0    12.1607
638        Southern Arkansas               0-3-0    12.0956
639        Sam Houston St                  3-2-0    12.094
640        Tennessee-Martin                2-3-0    12.0449
641        Tennessee-Martin                4-1-0    12.0409
642        Maine                           3-2-0    11.9795
643        Duquesne                        2-2-0    11.9521
644        Minn St-Moorhead                1-2-0    11.919
645        Southern Illinois               4-2-0    11.915
646        North Dakota                    3-2-0    11.8497
647        Northern St SD                  1-4-0    11.8366
648        Carleton                        0-1-0    11.8184
649        Bethel MN                       0-1-0    11.8184
650        UW-River Falls                  0-1-0    11.8184
651        Concordia-Moorhead              0-1-0    11.8184
652        West Virginia St                0-4-0    11.7943
653        Abilene Christian               6-0-0    11.7734
654        St Norbert                      0-1-0    11.7422
655        Augustana SD                    7-0-0    11.6993
656        St Cloud St                     6-0-0    11.6776
657        Washburn                        5-1-0    11.6368
658        TAMU-Commerce                   0-2-0    11.6346
659        Mt St Joseph                    0-1-0    11.5941
660        St Vincent                      0-1-0    11.5941
661        Idaho St                        1-3-0    11.5143
662        Gardner-Webb                    2-2-0    11.5048
663        Savannah St                     0-5-0    11.4902
664        Lamar                           1-2-0    11.4879
665        St Joseph's IN                  0-2-0    11.481
666        Whitworth                       0-1-0    11.3813
667        Wayne St NE                     3-1-0    11.3458
668        SE Louisiana St                 0-5-0    11.3065
669        Northwood                       3-2-0    11.2819
670        Valdosta St                     4-2-0    11.1786
671        Villanova                       4-1-0    11.1451
672        Bemidji St                      3-3-0    11.0656
673        Pittsburg St                    2-3-0    11.0377
674        Samford                         3-2-0    10.9972
675        Lane                            0-3-0    10.9828
676        Miles                           0-2-0    10.8842
677        Savannah St                     1-1-0    10.8066
678        NW Missouri St                  6-0-0    10.7867
679        St Lawrence                     0-2-0    10.7867
680        Fort Valley St                  0-2-0    10.7629
681        Concordia NE                    0-4-0    10.7579
682        Susquehanna                     0-3-0    10.6617
683        Columbia                        0-1-0    10.6311
684        South Dakota St                 4-1-0    10.5957
