Rank     Team                            W-L-T    Rating
592        Brigham Young                   1-0-0    10.0
593        Alabama A&M                     1-0-0    10.0
594        Boise St                        1-0-0    10.0
595        Buffalo St                      1-0-0    10.0
596        Pennsylvania                    3-1-0    9.9941
597        Jackson St                      3-2-0    9.821
598        Hawai`i                         0-4-0    9.8124
599        SW Minnesota St                 3-3-0    9.7983
600        Kansas                          0-1-0    9.5774
601        Lenoir-Rhyne                    3-3-0    9.5473
602        Western New Mexico              3-2-0    9.5155
603        West Liberty                    3-2-0    9.5153
604        UNLV                            0-1-0    9.4896
605        SE Missouri St                  0-1-0    9.4624
606        Sacramento St                   3-3-0    9.447
607        Jackson St                      4-2-0    9.4408
608        Virginia                        1-3-0    9.4239
609        West Chester                    4-1-0    9.2632
610        UW-River Falls                  1-0-0    9.0903
611        West Alabama                    3-2-0    9.0898
612        Merrimack                       5-1-0    9.0343
613        Kentucky                        0-2-0    9.0212
614        Air Force                       0-1-0    9.0046
615        Lamar                           0-3-0    8.9961
616        St Augustine's                  4-2-0    8.992
617        Jacksonville FL                 3-1-0    8.9531
618        St Thomas                       5-1-0    8.9265
619        South Dakota                    0-2-0    8.8683
620        Southern Miss                   0-5-0    8.7983
621        Elon                            0-4-0    8.7928
622        Colorado St-Pueblo              6-0-0    8.7826
623        Columbia                        3-2-0    8.7099
624        Concordia-Moorhead              4-0-0    8.6947
625        UW-Platteville                  4-1-0    8.6219
626        Newberry                        4-2-0    8.6088
627        Morehead St                     0-5-0    8.574
628        Alabama St                      4-1-0    8.5402
629        Missouri St                     1-2-0    8.4648
630        Bethel MN                       5-0-0    8.3814
631        St Francis IL                   4-2-0    8.3799
632        Bentley                         4-1-0    8.3678
633        Salisbury                       4-1-0    8.3245
634        Massachusetts                   1-3-0    8.3108
635        Jackson St                      0-1-0    8.3016
636        Wingate                         3-2-0    8.2048
637        Hampton                         2-1-0    8.0984
638        Shepherd                        3-3-0    8.0671
639        Ouachita Baptist                3-2-0    8.0566
640        South Alabama                   0-2-0    8.0317
641        Chadron St                      5-1-0    8.0142
642        Arkansas-Pine Bluff             4-1-0    7.9478
643        UNLV                            0-5-0    7.94
644        Colorado                        0-2-0    7.9059
645        Texas St-San Marcos             0-1-0    7.863
646        Southern Utah                   0-1-0    7.863
647        Missouri St                     0-1-0    7.8156
648        Duquesne                        3-2-0    7.8009
649        Furman                          1-4-0    7.7961
650        Bacone                          4-0-0    7.7344
651        New Mexico St                   0-2-0    7.7178
652        Northern Colorado               0-1-0    7.6919
653        Virginia                        0-1-0    7.6608
654        Augustana IL                    3-0-0    7.6569
655        Fort Valley St                  6-1-0    7.636
656        Missouri Southern               3-3-0    7.6055
657        Colorado                        0-5-0    7.5889
658        Alabama A&M                     0-1-0    7.5725
659        West Alabama                    5-1-0    7.5377
660        Johns Hopkins                   6-0-0    7.4666
661        Indianapolis                    4-2-0    7.4222
662        Monmouth NJ                     3-3-0    7.4206
663        Stonehill                       2-1-0    7.3772
664        Washington and Lee              5-0-0    7.3725
665        Louisiana College               3-1-0    7.2609
666        Liberty                         2-3-0    7.208
667        South Carolina St               3-1-0    7.1992
668        Weber St                        2-4-0    7.1661
669        Georgia St                      1-2-0    7.0706
670        Stephen F. Austin               0-5-0    7.0292
671        Colorado St                     1-5-0    6.9851
672        Alfred                          3-1-0    6.9527
673        Willamette                      4-0-0    6.9213
674        Concordia-Moorhead              4-1-0    6.9035
675        Buffalo                         0-2-0    6.8894
676        Princeton                       3-2-0    6.4777
677        Eastern Illinois                2-5-0    6.4103
678        Delaware                        1-3-0    6.2774
679        Northwestern St                 0-5-0    6.2487
680        North Carolina A&T              1-2-0    6.1371
681        Trinity TX                      4-1-0    6.1329
682        Eastern Michigan                0-2-0    6.1198
683        Illinois                        0-2-0    6.117
684        Houston                         0-1-0    6.0822
685        Bowling Green                   0-1-0    6.064
686        Austin Peay                     0-1-0    6.064
687        Hobart                          8-0-0    6.0543
