Rank     Team                            W-L-T    Schedule Factor
533        Morgan St                       0-1-0    17.1515
534        Presbyterian                    0-1-0    16.8338
535        Johnson C. Smith                0-1-0    16.7852
536        Fayetteville St                 0-1-0    16.7852
537        Redlands                        0-1-0    16.7191
538        UW-Platteville                  0-1-0    16.6723
539        TAMU-Commerce                   2-2-0    16.6543
540        Louisiana-Lafayette             4-1-0    16.6131
541        Colgate                         0-6-0    16.5761
542        Incarnate Word                  1-3-0    16.5684
543        Bryant                          0-1-0    16.5588
544        Furman                          2-2-0    16.5471
545        Saginaw Valley St               2-3-0    16.544
546        Northwestern St                 3-2-0    16.5347
547        Jacksonville St                 5-0-0    16.4701
548        McKendree                       2-3-0    16.42
549        Nicholls St                     0-4-0    16.4113
550        Rhode Island                    0-4-0    16.41
551        Central Conn St                 0-1-0    16.3314
552        Maine                           0-1-0    16.3314
553        Southern Illinois               4-2-0    16.3014
554        Coll of Idaho                   3-2-0    16.2935
555        Georgia Southern                4-0-0    16.2456
556        Duquesne                        4-2-0    16.218
557        Memphis                         3-1-0    16.1987
558        North Carolina A&T              0-1-0    16.1896
559        UW-Stevens Point                0-1-0    16.1482
560        Cal Poly SLO                    4-1-0    16.0498
561        Mars Hill                       1-3-0    16.0415
562        Furman                          1-3-0    16.0147
563        Northern Colorado               1-4-0    15.9962
564        South Alabama                   3-1-0    15.918
565        Concordia MI                    0-2-0    15.8832
566        McMurry                         1-5-0    15.8674
567        Carroll MT                      5-0-0    15.8064
568        Alma                            0-1-0    15.7664
569        Northern Michigan               1-4-0    15.7623
570        Montana Tech                    0-4-0    15.7419
571        Wilmington                      0-1-0    15.7218
572        Texas Southern                  0-1-0    15.6638
573        Tennessee St                    0-1-0    15.6423
574        UW-Stout                        0-2-0    15.5447
575        Southern Nazarene               0-2-0    15.5245
576        Angelo St                       4-0-0    15.4335
577        Villanova                       0-1-0    15.4291
578        West Liberty                    2-4-0    15.4128
579        Liberty                         4-2-0    15.4033
580        Chattanooga                     4-2-0    15.338
581        Holy Cross                      1-5-0    15.3119
582        Virginia-Wise                   0-1-0    15.2889
583        Fairmont St                     0-1-0    15.2889
584        Western Carolina                2-3-0    15.2389
585        Maine                           0-1-0    15.1981
586        American Int'l                  0-1-0    15.1981
587        UNC-Charlotte                   2-3-0    15.1488
588        Portland St                     2-2-0    15.1389
589        Bowling Green                   4-1-0    15.098
590        Southern Utah                   2-2-0    15.047
591        UW-Eau Claire                   0-3-0    15.0469
592        Randolph-Macon                  0-1-0    15.0207
593        Rhode Island                    0-4-0    14.9765
594        James Madison                   5-1-0    14.9681
595        Lewis & Clark                   0-2-0    14.7775
596        Malone                          0-6-0    14.7676
597        Robert Morris PA                0-3-0    14.7625
598        Kutztown                        0-1-0    14.7085
599        Tennessee Tech                  4-2-0    14.633
600        Holy Cross                      3-2-0    14.6074
601        San Jose St                     0-1-0    14.5867
602        Marshall                        5-0-0    14.5177
603        Rowan                           0-1-0    14.4714
604        Luther                          0-1-0    14.4398
605        William Jewell                  0-1-0    14.4252
606        Buena Vista                     0-1-0    14.4172
607        Rocky Mountain                  4-2-0    14.2678
